sample_id,input_token_count,output_token_count,total_output_rows,threshold,high_abs_diff_count,high_abs_diff_ratio,max_abs_logprob_diff
c0ffb119a6de417bf202,8901,1,1,1.0,0,0.0,0.09542346000671387
226534177d297808f614,8687,128,128,1.0,0,0.0,0.12497645616531372
4767f62654e6a729118d,8685,128,128,1.0,0,0.0,0.3829073905944824
6f11621ea4870c5051c0,8684,128,128,1.0,0,0.0,0.6983512043952942
8a99328541cac5fdce7b,8684,128,128,1.0,0,0.0,0.38900625705718994
9b5622865f391be379dc,8675,128,128,1.0,0,0.0,0.5274007320404053
9c92fbd9374ceac98124,8673,128,128,1.0,0,0.0,0.469677209854126
ed64c33dec678e9c1523,8669,128,128,1.0,0,0.0,0.26347070932388306
241b4d6c96e6af856c82,8677,115,115,1.0,0,0.0,0.2512447237968445
b97f77ac947e97173a3f,8684,77,77,1.0,0,0.0,0.27245259284973145
88daa8df0eb8166c46a2,8681,75,75,1.0,0,0.0,0.4134751632809639
a93f2a9875be3085b27e,8681,38,38,1.0,0,0.0,0.2527865767478943
767d2c491bd2cfda50bb,8681,14,14,1.0,0,0.0,0.4013875424861908
0b3d86f36e753a65e427,8682,6,6,1.0,0,0.0,0.27274733781814575
ee8ce3c3337007480d52,8670,14,14,1.0,0,0.0,0.22552794218063354
60f46a71bf17143bb891,8667,17,17,1.0,0,0.0,0.61496502161026
83b8c04623f4c5b0925a,8561,73,73,1.0,0,0.0,0.6116965897381306
6a417008251fd90c5c1d,8226,1,1,1.0,0,0.0,0.03034830093383789
92fa4ed5264535af1861,8224,1,1,1.0,0,0.0,0.023867905139923096
27665fea9a90e68326fa,8224,1,1,1.0,0,0.0,0.03208082914352417
8a770bebd0d9a35c715a,8219,1,1,1.0,0,0.0,0.00828254222869873
4e0a3755e30b11dd7c67,8218,1,1,1.0,0,0.0,0.09882229566574097
00f75f3d9317bb603adf,7727,103,103,1.0,0,0.0,0.3528849855065346
d01ade66f802d41e4b91,2230,128,128,1.0,0,0.0,0.5985965728759766
446dceccf620daa17288,2229,128,128,1.0,0,0.0,0.25805193185806274
9749c29ecbdf8c66383f,2186,128,128,1.0,0,0.0,0.3468363285064697
4f8347f6ca96783e69d3,2184,128,128,1.0,0,0.0,0.3434535264968872
e0d75043b913539245dd,2183,128,128,1.0,0,0.0,0.43639397621154785
cda6c84d555e3c6449ae,2183,128,128,1.0,0,0.0,0.4277184009552002
107c0874e9429ce217c5,2183,128,128,1.0,0,0.0,0.23081207275390625
15eb16fcdaff88e628d7,2178,128,128,1.0,0,0.0,0.14113068580627441
a6b5caa85856ba69deb4,2178,128,128,1.0,0,0.0,0.35808074474334717
536de0e450d7da19125d,2177,128,128,1.0,0,0.0,0.5333944879239425
ed0e956b8ef0dba85379,2176,128,128,1.0,0,0.0,0.40782877802848816
df2d1e9365fc9a5a3612,2176,128,128,1.0,0,0.0,0.4990203380584717
6777c603c16881faf801,2175,128,128,1.0,0,0.0,0.4529939889907837
8c73331b2db7c6325b81,2171,128,128,1.0,0,0.0,0.4294309914112091
dab696e6f79ee4d1e78d,2171,128,128,1.0,0,0.0,0.7142418026924133
e32f92840a7a4de12de8,2148,128,128,1.0,0,0.0,0.19814324378967285
ce5f5d795624bb0be26b,2142,128,128,1.0,0,0.0,0.7128539171535522
0a95e425e4dd7a02f20c,2243,1,1,1.0,0,0.0,0.11110854148864746
b4fdda7dabad8e1e132f,2243,1,1,1.0,0,0.0,0.03439527750015259
36358749e573acbcc628,2243,1,1,1.0,0,0.0,0.018709838390350342
5b84452be308abfbbf02,2066,128,128,1.0,0,0.0,0.43753015995025635
e6e6915439026caf5b7f,2065,128,128,1.0,0,0.0,0.5828409790992737
2a79efb68605bc2f5fe4,2073,1,1,1.0,0,0.0,0.10671204328536987
71097911ce5b11ea1460,2073,1,1,1.0,0,0.0,0.0158117413520813
9e16629760a34318461b,2066,1,1,1.0,0,0.0,0.7176087498664856
894f267072dcab0b34ac,1930,128,128,1.0,0,0.0,0.7509530782699585
da187bcffc08d8df596e,1930,128,128,1.0,0,0.0,0.7458463311195374
e4319382c84d12785440,579,128,128,1.0,0,0.0,0.5617759227752686
931236a06351a1187146,560,128,128,1.0,0,0.0,0.22338080406188965
43d24dea109fc2bee478,554,128,128,1.0,0,0.0,0.4831918478012085
dff423d9704a840dcff3,550,128,128,1.0,0,0.0,0.31951677799224854
b779970d705fdc72ddd4,545,128,128,1.0,0,0.0,0.339457631111145
80da37d7496c38b8b538,545,128,128,1.0,0,0.0,0.9869292974472046
cbbaf01f8d9698145a16,542,128,128,1.0,0,0.0,0.9939092397689819
081f312c80bb99972dbd,541,128,128,1.0,0,0.0,0.8926801979541779
888143df5d12f0a0df95,490,128,128,1.0,0,0.0,0.8957046270370483
a2aa3c4ce5d485896306,489,128,128,1.0,0,0.0,0.5130442976951599
