input_len,output_len,total_tokens,gen_tokens,worker_total_median_s,worker_total_mean_s,worker_total_p10_s,worker_total_p90_s,worker_ttft_median_s,worker_decode_median_s,worker_tok_per_s_median,verifier_total_median_s,verifier_total_mean_s,verifier_total_p10_s,verifier_total_p90_s,verifier_tok_per_s_median,worker_over_verifier_median
1024,4096,5120,4096,72.2362008378841,72.23513424592093,72.23016792554408,72.23980584926903,nan,nan,56.70287130953131,0.6904521710239351,0.6884434769861401,0.674966799095273,0.6999030468054116,7415.430372833908,104.62158549050311
1024,8192,9216,8192,147.00827442109585,147.00925630265846,146.99979329556226,147.0199792811647,nan,nan,55.72475448922376,1.590347866062075,1.5917998200282455,1.5549594329670071,1.6303946550935509,5794.9585726927235,92.43781034215428
2048,1,2049,1,0.20402448438107967,0.20396492565050722,0.202713739592582,0.20501312939450145,nan,nan,4.901372514350712,0.2910224189981818,0.34138129856437444,0.2632520727813244,0.4748013807460666,7040.694689617027,0.7010610559949827
2048,16,2064,16,0.46681580087170005,0.4667966422624886,0.4660776483826339,0.46747164195403457,nan,nan,34.2747609873588,0.2936966489069164,0.3418869789689779,0.27405991964042187,0.45828464645892386,7027.659347431506,1.5894488500604298
2048,64,2112,64,1.305923828855157,1.3056801587343216,1.3042889954522252,1.306844811886549,nan,nan,49.007452491395185,0.29725678777322173,0.345817185845226,0.2682794230990112,0.47661226363852627,7104.9681180409325,4.393251500286852
2048,256,2304,256,4.661063105799258,4.6614198730327185,4.659590531419963,4.6635220013558865,nan,nan,54.92309247679716,0.3192556728608906,0.36871380899101497,0.2986575499176979,0.4888092822395265,7216.786406185248,14.599781623395693
2048,1024,3072,1024,18.137124099768698,18.137351620197297,18.13602895103395,18.138989721704274,nan,nan,56.458785547652454,0.4239304172806442,0.5247805549763143,0.39298687214031813,0.7098029962740838,7246.472238783281,42.783257252715195
2048,2048,4096,2048,36.23361850529909,36.23297799322754,36.22846535351127,36.23676934186369,nan,nan,56.522094245168596,0.5648210272192955,0.6559474564157426,0.5609958424232899,0.7995791386812925,7251.854662998764,64.15061897338173
2048,4096,6144,4096,73.03830210631713,73.03701740633696,73.0323082998395,73.04060387713835,nan,nan,56.08016454212911,0.8189902692101896,0.9533142833039164,0.8065224599093199,1.1746173758991063,7501.920634447946,89.1809156374387
2048,8192,10240,8192,148.44878923613578,148.4472672120668,148.44123799800872,148.45313766468317,nan,nan,55.18401357231065,1.7922397120855749,1.8039924388751387,1.7749991538934409,1.8453477044589819,5713.521428494642,82.8286463217526
4096,1,4097,1,0.41813614312559366,0.41823715465143324,0.41743535874411464,0.4191447962075472,nan,nan,2.3915655616970537,0.5343967638909817,0.6515826764516532,0.5257055243477226,0.8358535040169954,7666.588341908071,0.7824451257547183
4096,16,4112,16,0.6856306400150061,0.6848954265937209,0.6829754175618291,0.6863114699721337,nan,nan,23.33617995784117,0.5692531503736973,0.6630352199077606,0.5464870271272957,0.8292454433627426,7223.499768601365,1.2044389030871598
4096,64,4160,64,1.5416063899174333,1.5420771307311951,1.541197992954403,1.5433528346940877,nan,nan,41.51513669025968,0.8107465878129005,0.7277635295875371,0.5489634573459625,0.8629062987864018,5131.073090572194,1.901465159509492
4096,256,4352,256,4.981712257955223,4.981874789763242,4.980118682328611,4.983978844992817,nan,nan,51.38795392913297,0.5981667200103402,0.6914689630270004,0.5649809239432215,0.8666506139561534,7275.563575193165,8.328300608012942
4096,1024,5120,1024,18.764455168973655,18.764513433352114,18.763054068386552,18.765897819492967,nan,nan,54.57126203659496,0.9584587318822742,0.8673432462848722,0.6905808041803538,0.9989184934645892,5341.909703243103,19.577739285783313
4096,2048,6144,2048,37.2070225677453,37.20982697661966,37.20498688938096,37.21602838784456,nan,nan,55.043372424414514,0.802266594953835,0.9234546396881342,0.7954425194300712,1.1187801642343402,7658.302163701014,46.377379790923875
4096,4096,8192,4096,74.60613127890974,74.60698659485206,74.60026767104864,74.6146379574202,nan,nan,54.90165392288462,1.441259833984077,1.4452659093774856,1.4336265226826073,1.4603872324340044,5683.916117578078,51.76452539628187
4096,8192,12288,8192,151.26200731890276,151.26887923385948,151.25154430642723,151.28958665560933,nan,nan,54.15768404242425,2.422845765016973,2.4421500409021974,2.4009133646264673,2.4948068890720605,5071.721930229396,62.43154620196928
8192,1,8193,1,0.8863425860181451,0.8866033712401986,0.8849257657304407,0.8883540961891414,nan,nan,1.1282319227066093,1.4333016951568425,1.428040304314345,1.4128262607380746,1.4386504113674163,5716.172685544379,0.6183921982462701
8192,16,8208,16,1.1654628980904818,1.1649161722511052,1.1630601291544735,1.1664372173137965,nan,nan,13.728450752241644,1.4469716688618064,1.4492655416950584,1.4395972402766346,1.4621870637871326,5672.536772234418,0.8054497010347407
8192,64,8256,64,2.0467368671670556,2.047061118669808,2.0449723857454956,2.049214385356754,nan,nan,31.269285772227356,1.4571815147064626,1.4522791152819992,1.4401355881243945,1.4621887557208537,5665.732042766892,1.4045860769647178
8192,256,8448,256,5.591156857088208,5.5908786615356805,5.589803266432137,5.591757277771831,nan,nan,45.78658881219816,1.442195583600551,1.4585747299715877,1.4385206143371763,1.4938080470077693,5857.735314172109,3.876836762410172
